#Orgánica,,Programa,,Subconcepto,,Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Crédito inicial 2017,Modificaciones 2017,Credito definitivo 2017,Obligado 2017
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",1533,URBANIZACIÓN E INFRAESTRUCTURAS ESPACIOS URBANOS,73503,TRANSFERENCIAS DE CAPITAL A BILBAO RIA 2000 S.A.,110,1,7,786800,0,786800,0
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",2111,PENSIONES A CARGO DE LA ENTIDAD,16102,PENSIONES A CARGO DE LA ENTIDAD,110,2,1,475000,0,475000,302414.62
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",3331,MUSEOS Y ARTES PLÁSTICAS,43608,TRANSFERENCIAS CORRIENTES A MUSEO MARÍTIMO BILBAO,110,3,4,170500,0,170500,170500
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",3341,ARTES ESCÉNICAS,48199,OTRAS TRANSFERENCIAS CORRIENTES A INSTITUCIONES SIN FINES DE LUCRO,110,3,4,80000,0,80000,80000
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9121,APOYO AL GOBIERNO MUNICIPAL,10001,RETRIBUCIONES BASICAS Y OTRAS REMUNERACIONES DE ALTOS CARGOS,110,9,1,180981,0,180981,137055.81
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9121,APOYO AL GOBIERNO MUNICIPAL,11001,RETRIBUCIONES BASICAS Y OTRAS REMUNERACIONES DEL PERSONAL EVENTUAL DE GABINETES,110,9,1,563966,0,563966,299031.13
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9121,APOYO AL GOBIERNO MUNICIPAL,12001,RETRIBUCIONES BASICAS DEL PERSONAL FUNCIONARIO,110,9,1,269903,0,269903,116528.28
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9121,APOYO AL GOBIERNO MUNICIPAL,12101,COMPLEMENTO DE DESTINO,110,9,1,98104,0,98104,88814.95
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9121,APOYO AL GOBIERNO MUNICIPAL,12102,COMPLEMENTO ESPECIFICO,110,9,1,240717,0,240717,206439.44
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9121,APOYO AL GOBIERNO MUNICIPAL,12103,COMPLEMENTO DE PRODUCTIVIDAD,110,9,1,22353,0,22353,17501.62
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9121,APOYO AL GOBIERNO MUNICIPAL,12104,GRATIFICACIONES,110,9,1,22989,0,22989,16135.02
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9121,APOYO AL GOBIERNO MUNICIPAL,12105,PRESTACIONES Y COMPLEMENTOS POR INCAPACIDAD TEMPORAL,110,9,1,0,0,0,9502.12
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9121,APOYO AL GOBIERNO MUNICIPAL,16001,SEGURIDAD SOCIAL,110,9,1,269164,0,269164,127658.72
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9121,APOYO AL GOBIERNO MUNICIPAL,16004,CUOTAS ELKARKIDETZA,110,9,1,10770,0,10770,6891.34
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9121,APOYO AL GOBIERNO MUNICIPAL,20101,ARRENDAMIENTO DE EDIFICIOS Y OTRAS CONSTRUCCIONES,110,9,2,2000,0,2000,0
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9121,APOYO AL GOBIERNO MUNICIPAL,20901,ARRENDAMIENTO DE OTRO INMOVILIZADO MATERIAL,110,9,2,4000,0,4000,0
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9121,APOYO AL GOBIERNO MUNICIPAL,22002,"PRENSA, REVISTA, LIBROS Y OTRAS PUBLICACIONES",110,9,2,1000,0,1000,0
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9121,APOYO AL GOBIERNO MUNICIPAL,22199,OTROS SUMINISTROS,110,9,2,2000,5000,7000,4426.74
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9121,APOYO AL GOBIERNO MUNICIPAL,22601,CANONES,110,9,2,3000,0,3000,0
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9121,APOYO AL GOBIERNO MUNICIPAL,22602,ATENCIONES PROTOCALARIAS Y REPRESENTATIVAS,110,9,2,1000,0,1000,11979
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9121,APOYO AL GOBIERNO MUNICIPAL,22603,PUBLICIDAD Y PROPAGANDA,110,9,2,20000,0,20000,0
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9121,APOYO AL GOBIERNO MUNICIPAL,22605,REUNIONES Y CONFERENCIAS,110,9,2,11000,0,11000,0
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9121,APOYO AL GOBIERNO MUNICIPAL,22607,CUOTAS PARTICIPACION EN OTROS ENTES,110,9,2,240000,0,240000,229069.89
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9121,APOYO AL GOBIERNO MUNICIPAL,22699,OTROS GASTOS DIVERSOS,110,9,2,2000,10000,12000,5672.58
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9121,APOYO AL GOBIERNO MUNICIPAL,22704,CONTRATOS SOCIO-CULTURALES,110,9,2,3000,0,3000,40286
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9121,APOYO AL GOBIERNO MUNICIPAL,22707,ESTUDIOS Y TRABAJOS TECNICOS,110,9,2,248000,80000,328000,109313.04
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9121,APOYO AL GOBIERNO MUNICIPAL,22712,SERVICIOS INFORMATICOS,110,9,2,122000,0,122000,0
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9121,APOYO AL GOBIERNO MUNICIPAL,22713,PRESTACIONES DE SERVICIOS DE COMUNICACIÓN E IMAGEN,110,9,2,1000,0,1000,0
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9121,APOYO AL GOBIERNO MUNICIPAL,22717,SERVICIOS DE AGENCIAS DE VIAJES,110,9,2,9000,3000,12000,5574.53
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9121,APOYO AL GOBIERNO MUNICIPAL,22720,SERVICIOS DE TRADUCCION E INTERPRETES,110,9,2,11500,0,11500,7257.49
