#Subconcepto,,Prevision Inicial 2016,Modificaciones 2016,Previsión definitiva 2016,Derechos reconocidos netos 2016
11202,HIRI ONDASUN HIGIEZINEN GAINEKO ZERGA,48496000,0,48496000,48874324.39
11301,TRAKZIO MEKANIKOZKO IBILGAILUEN GAINEKO ZERGA,17940000,0,17940000,18011623.69
11401,HIRILURREN BALIOAREN GEHIKUNTZAREN GAINEKO ZERGA,7100000,0,7100000,9140203.97
13001,JARDUERA EKONOMIKOEN GAINEKO ZERGA,13570000,0,13570000,13671515.25
28201,"ERAIKUNTZA LANEN, INSTALAZIOEN ETA OBREN GAINEKO ZERGA",5600000,0,5600000,7263576.74
30004,UDAL GORDAILUAN BERTAN BEHERA UTZITAKO IBILGAILUEN SALMENTA,100000,0,100000,118748.86
31001,ZABORRAK ETA HIRI HONDAKIN SOLIDOAK ETXEAN BATZEAREN TASA,21695000,0,21695000,22125660.82
31002,ESTOLDERI ZERBITZUAREN TASA,6924000,0,6924000,7020721.94
31004,DOKUMENTUAK EGITEKO ETA EMATEKO ZERBITZUAREN TASA,15000,0,15000,17117.99
31005,IBILGAILUAK BIDE PUBLIKOTIK EROATEKO ETA UDAL GORDAILUETAN EDUKITZEKO ZERB. TASA,630000,0,630000,619356.41
31006,UDALTZAINGOAREN ZERBITZU BEREZIEN TASA,25000,0,25000,16943.6
31008,UDALEKO SUHILTZAILEEN ETA BABES ZIBILAREN ZERBITZUEN TASA,1000000,0,1000000,791749.71
31009,UR HORNIDURAREN TASA,16140000,0,16140000,16496817.15
31015,ETXEZ ETXEKO LAGUNTZA ZERBITZUAREN ETA BESTE GIZARTE ZERBITZU BATZUEN TASA,780000,0,780000,960207.44
31019,HIRIBARRUKO GARRAIO KOLEKTIBOAREN ZERBITZUAREN TASA,2000,0,2000,851.02
31021,OSASUN ZERBITZUEN TASA,10000,0,10000,26086.04
31022,ANBULANTZIEN ZERBITZUEN TASA,3000,0,3000,4003.15
31023,LAN OSASUNEKO ZERBITZUEN TASA,3000,0,3000,2400
31024,ZERBITZU TEKNIKOAK EMATEAREN TASA,84000,0,84000,48003.58
31101,ESTABLEZIMENDUAK ZABALTZEKO LIZENTZIAREN TASA,260000,0,260000,212441.7
31102,AUTOTAXIEN ETA BESTELAKO AKURA. IBILG. LIZENTZIAK EMATEKO EDO EGITEKO ZER. TASA,60000,0,60000,74355.7
31201,OBRETARAKO ETA HIRIGINTZA LANETARAKO LIZENTZIEN TASA,3800000,0,3800000,4658321.13
32001,TRAKZIO MEKANIKOZKO IBILGAILUAK APARKATZEAREN TASA,7030000,0,7030000,1103583.26
32004,ZERBITZU OROKORREN BESTE TASA BATZUK,300000,0,300000,733831.71
32103,"HESI, ALDAMIO ETA OBRETAKO BESTE OSAGARRI BATZUEN TASA",610000,0,610000,825956.84
32104,"MAHAI, AULKI ETA MAHAITXOEN TASA",600000,0,600000,858904.51
32105,FERIA ETA JAIETAKO TASA,800000,0,800000,962943.54
32107,JABETZA PUBLIKOKO LURRETAN LAGINKETAK ETA ERRETENAK ZABALTZEAREN TASA,26000,0,26000,28791.7
32109,HORNIDURA ZERBITZUAK USTIATZEN DITUZTEN ENPRESEK BIDE PUBLIKOA OKUPATZEAREN TASA,3050000,0,3050000,3104309.5
32110,"ERAKUSMAHAIAK, BEIRA-ARASAK, PORTADAK ETA ABAR JARTZEAREN TASA",80000,0,80000,71905.39
32112,"UDALAREN LUR, HEGAL ETA LURPEAREN APROBETXAMENDU BEREZIEN TASA",230000,0,230000,292595.97
32201,IBILGAILUAK ESPALOIETATIK SARTZEAREN ETA BIDE PUBL. APARKALEKUA ERRESER. TASA,710000,0,710000,883811.21
34007,"LIBURUAK, ARGITALPEN ETA BIDEOEN SALMENTAGATIKO PREZIO PUBLIKOA",4000,0,4000,3654.22
34102,UDAL JARDUERAK EDOTA ZERBITZUAK EMATEAGATIKO PREZIO PUBLIKOA,180000,0,180000,283642.85
35202,ZERBITZU OROKORREN PREZIO PUBLIKOAK,0,0,0,-807.67
36101,SUAK ITZALTZEKO ZERBITZUAREN KONTRIBUZIO BEREZIAK,2250000,0,2250000,2215657.75
38001,ITXITAKO AURREKONTUEN ITZULKETAK,122000,40335,162335,1897642.61
39101,ISUNAK TRAFIKOAREN LEGEAREN AURKAKO ARAU HAUSTEENGATIK,7700000,0,7700000,9073403.11
