#Orgánica,,Programa,,Subconcepto,,Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Crédito inicial 2017,Modificaciones 2017,Credito definitivo 2017,Obligado 2017
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",1533,HIRIKO ESPAZIOEN URBANIZAZIOA ETA HORIETAKO AZPIEGITURAK,73503,KAPITAL TRANSFERENTZIAK BILBAO RIA 2000 SA-RI,110,1,7,786800,0,786800,0
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",2111,ENTITATEAREN KONTURAKO PENTSIOAK,16102,ENTITATEAREN KONTURAKO PENTSIOAK,110,2,1,475000,0,475000,302414.62
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",3331,MUSEOAK ETA ARTE PLASTIKOAK,43608,TRANSFERENTZIA ARRUNTAK ITSAS MUSEORA,110,3,4,170500,0,170500,170500
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",3341,ARTE ESZENIKOAK,48199,BESTE TRANSFERENTZIA ARRUNT BATZUK IRABAZI ASMORIK GABEKO ERAKUNDEETARA,110,3,4,80000,0,80000,80000
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9121,UDAL GOBERNUARI LAGUNTZEA,10001,GOI KARGUEN OINARRIZKO SOLDATAK ETA BESTELAKO LANSARIAK,110,9,1,180981,0,180981,137055.81
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9121,UDAL GOBERNUARI LAGUNTZEA,11001,KABINETEETAKO ALDI BAT. PERTSONALAREN OINARRIZKO SOLDATAK ETA BESTE LANSARIAK,110,9,1,563966,0,563966,299031.13
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9121,UDAL GOBERNUARI LAGUNTZEA,12001,FUNTZIONARIOEN OINARRIZKO SOLDATAK,110,9,1,269903,0,269903,116528.28
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9121,UDAL GOBERNUARI LAGUNTZEA,12101,LANTOKI OSAGARRIA,110,9,1,98104,0,98104,88814.95
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9121,UDAL GOBERNUARI LAGUNTZEA,12102,OSAGARRI BEREZIA,110,9,1,240717,0,240717,206439.44
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9121,UDAL GOBERNUARI LAGUNTZEA,12103,PRODUKTIBITATE OSAGARRIA,110,9,1,22353,0,22353,17501.62
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9121,UDAL GOBERNUARI LAGUNTZEA,12104,HABOROKINAK,110,9,1,22989,0,22989,16135.02
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9121,UDAL GOBERNUARI LAGUNTZEA,12105,PRESTAZIOAK ETA OSAGARRIAK ALDI BATERAKO EZINTASUNAK,110,9,1,0,0,0,9502.12
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9121,UDAL GOBERNUARI LAGUNTZEA,16001,GIZARTE SEGURANTZA,110,9,1,269164,0,269164,127658.72
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9121,UDAL GOBERNUARI LAGUNTZEA,16004,ELKARKIDETZAKO KUOTAK,110,9,1,10770,0,10770,6891.34
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9121,UDAL GOBERNUARI LAGUNTZEA,20101,ERAIKINEN ETA BESTELAKO ERAIKUNTZEN ERRENTAMENDUA,110,9,2,2000,0,2000,0
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9121,UDAL GOBERNUARI LAGUNTZEA,20901,BESTELAKO IBILGETU MATERIALAREN ERRENTAMENDUA,110,9,2,4000,0,4000,0
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9121,UDAL GOBERNUARI LAGUNTZEA,22002,"PRENTSA, ALDIZKARIAK, LIBURUAK ETA ARGITALPENAK",110,9,2,1000,0,1000,0
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9121,UDAL GOBERNUARI LAGUNTZEA,22199,BESTELAKO HORNIDURAK,110,9,2,2000,5000,7000,4426.74
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9121,UDAL GOBERNUARI LAGUNTZEA,22601,KANONAK,110,9,2,3000,0,3000,0
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9121,UDAL GOBERNUARI LAGUNTZEA,22602,PROTOKOLO ETA ORDEZKARITZAKO ARRETA,110,9,2,1000,0,1000,11979
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9121,UDAL GOBERNUARI LAGUNTZEA,22603,PUBLIZITATEA ETA PROPAGANDA,110,9,2,20000,0,20000,0
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9121,UDAL GOBERNUARI LAGUNTZEA,22605,BILERAK ETA BATZARRAK,110,9,2,11000,0,11000,0
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9121,UDAL GOBERNUARI LAGUNTZEA,22607,BESTE ENTE BATZUETAKO PARTAIDETZA-KUOTAK,110,9,2,240000,0,240000,229069.89
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9121,UDAL GOBERNUARI LAGUNTZEA,22699,BESTELAKO GASTUAK,110,9,2,2000,10000,12000,5672.58
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9121,UDAL GOBERNUARI LAGUNTZEA,22704,GIZARTE ETA KULTUR ARLOKO KONTRATUAK,110,9,2,3000,0,3000,40286
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9121,UDAL GOBERNUARI LAGUNTZEA,22707,AZTERLAN ETA LAN TEKNIKOAK,110,9,2,248000,80000,328000,109313.04
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9121,UDAL GOBERNUARI LAGUNTZEA,22712,ZERBITZU INFORMATIKOAK,110,9,2,122000,0,122000,0
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9121,UDAL GOBERNUARI LAGUNTZEA,22713,KOMUNIKAZIO ETA IRUDI ZERBITZUAK EMATEA,110,9,2,1000,0,1000,0
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9121,UDAL GOBERNUARI LAGUNTZEA,22717,BIDAI AGENTZIETAKO ZERBITZUAK,110,9,2,9000,3000,12000,5574.53
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9121,UDAL GOBERNUARI LAGUNTZEA,22720,ITZULPEN ETA INTERPRETARITZA ZERBITZUAK,110,9,2,11500,0,11500,7257.49
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9121,UDAL GOBERNUARI LAGUNTZEA,22723,ZERBITZUAK:ARGIAK ETA SOINUAK,110,9,2,1000,0,1000,0
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9121,UDAL GOBERNUARI LAGUNTZEA,22799,KANPOKO ENPRESEK EGINDAKO BESTELAKO LANAK,110,9,2,1000,0,1000,0
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9121,UDAL GOBERNUARI LAGUNTZEA,23001,"BIDAI SARIAK, PERTSONALAREN GARRAIOA ETA LOKOMOZIOA",110,9,2,10000,1000,11000,13000
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9121,UDAL GOBERNUARI LAGUNTZEA,23999,BESTELAKO KALTE-ORDAINAK,110,9,2,1000,0,1000,0
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9121,UDAL GOBERNUARI LAGUNTZEA,64301,"IKERKETAK, AZTERLANAK ETA PROIEKTUAK",110,9,6,20000,0,20000,4840
