#Orgánica,,Programa,,Subconcepto,,Vinc. Org.,Vinc. Fun.,Vinc. Eco.,"Crédito inicial 2015","Modificaciones 2015","Credito definitivo 2015","Obligado 2015"
110,ALCALDÍA Y CONTRATACIÓN,1533,URBANIZACIÓN E INFRAESTRUCTURAS ESPACIOS URBANOS,73503,TRANSFERENCIAS DE CAPITAL A BILBAO RIA 2000 S.A.,110,1,7,1982900,0,1982900,1196016.24
110,ALCALDÍA Y CONTRATACIÓN,3271,FOMENTO DE LA CONVIVENCIA CIUDADANA,22753,SERVICIOS PARA LA INFANCIA/JUVENTUD,110,3,2,5000,0,5000,0
110,ALCALDÍA Y CONTRATACIÓN,3271,FOMENTO DE LA CONVIVENCIA CIUDADANA,47101,TRANSFERENCIAS CORRIENTES A UNIVERSIDAD DE DEUSTO,110,3,4,0,18000,18000,18000
110,ALCALDÍA Y CONTRATACIÓN,3271,FOMENTO DE LA CONVIVENCIA CIUDADANA,48199,OTRAS TRANSFERENCIAS CORRIENTES A INSTITUCIONES SIN FINES DE LUCRO,110,3,4,0,0,0,0
110,ALCALDÍA Y CONTRATACIÓN,3271,FOMENTO DE LA CONVIVENCIA CIUDADANA,60901,OTRAS INVERSIONES DESTINADAS AL USO GENERAL,110,3,6,40000,-11795,28205,0
110,ALCALDÍA Y CONTRATACIÓN,3331,MUSEOS Y ARTES PLÁSTICAS,43608,TRANSFERENCIAS CORRIENTES A MUSEO MARÍTIMO BILBAO,110,3,4,170500,0,170500,170500
110,ALCALDÍA Y CONTRATACIÓN,3341,ARTES ESCÉNICAS,48199,OTRAS TRANSFERENCIAS CORRIENTES A INSTITUCIONES SIN FINES DE LUCRO,110,3,4,60000,0,60000,60000
110,ALCALDÍA Y CONTRATACIÓN,3371,INSTALACIONES DE ESPARCIMIENTO Y OCIO,43304,TRANSFERENCIAS CORRIENTES A AZ AZKUNA ZENTROA,110,3,4,6007000,99524,6106524,6073463.1
110,ALCALDÍA Y CONTRATACIÓN,3371,INSTALACIONES DE ESPARCIMIENTO Y OCIO,73304,TRANSFERENCIAS DE CAPITAL A AZ AZKUNA ZENTROA,110,3,7,80000,0,80000,79627.7
110,ALCALDÍA Y CONTRATACIÓN,9121,APOYO AL GOBIERNO MUNICIPAL,10001,RETRIBUCIONES BASICAS Y OTRAS REMUNERACIONES DE ALTOS CARGOS,110,9,1,98436,0,98436,149578.83
110,ALCALDÍA Y CONTRATACIÓN,9121,APOYO AL GOBIERNO MUNICIPAL,11001,RETRIBUCIONES BASICAS Y OTRAS REMUNERACIONES DEL PERSONAL EVENTUAL DE GABINETES,110,9,1,475357,0,475357,313497.81
110,ALCALDÍA Y CONTRATACIÓN,9121,APOYO AL GOBIERNO MUNICIPAL,12001,RETRIBUCIONES BASICAS DEL PERSONAL FUNCIONARIO,110,9,1,243027,0,243027,154152.3
110,ALCALDÍA Y CONTRATACIÓN,9121,APOYO AL GOBIERNO MUNICIPAL,12101,COMPLEMENTO DE DESTINO,110,9,1,123138,0,123138,114773.28
110,ALCALDÍA Y CONTRATACIÓN,9121,APOYO AL GOBIERNO MUNICIPAL,12102,COMPLEMENTO ESPECIFICO,110,9,1,298353,0,298353,263615.41
110,ALCALDÍA Y CONTRATACIÓN,9121,APOYO AL GOBIERNO MUNICIPAL,12103,COMPLEMENTO DE PRODUCTIVIDAD,110,9,1,25847,0,25847,26561.95
110,ALCALDÍA Y CONTRATACIÓN,9121,APOYO AL GOBIERNO MUNICIPAL,12104,GRATIFICACIONES,110,9,1,21417,0,21417,100774.16
110,ALCALDÍA Y CONTRATACIÓN,9121,APOYO AL GOBIERNO MUNICIPAL,12105,PRESTACIONES Y COMPLEMENTOS POR INCAPACIDAD TEMPORAL,110,9,1,0,0,0,12540.89
110,ALCALDÍA Y CONTRATACIÓN,9121,APOYO AL GOBIERNO MUNICIPAL,16001,SEGURIDAD SOCIAL,110,9,1,264586,0,264586,185841.7
110,ALCALDÍA Y CONTRATACIÓN,9121,APOYO AL GOBIERNO MUNICIPAL,16004,CUOTAS ELKARKIDETZA,110,9,1,9278,0,9278,10183.62
110,ALCALDÍA Y CONTRATACIÓN,9121,APOYO AL GOBIERNO MUNICIPAL,20101,ARRENDAMIENTO DE EDIFICIOS Y OTRAS CONSTRUCCIONES,110,9,2,2000,0,2000,0
110,ALCALDÍA Y CONTRATACIÓN,9121,APOYO AL GOBIERNO MUNICIPAL,20901,ARRENDAMIENTO DE OTRO INMOVILIZADO MATERIAL,110,9,2,4000,0,4000,0
110,ALCALDÍA Y CONTRATACIÓN,9121,APOYO AL GOBIERNO MUNICIPAL,22002,"PRENSA, REVISTA, LIBROS Y OTRAS PUBLICACIONES",110,9,2,3000,0,3000,0
110,ALCALDÍA Y CONTRATACIÓN,9121,APOYO AL GOBIERNO MUNICIPAL,22199,OTROS SUMINISTROS,110,9,2,2000,0,2000,6059.09
110,ALCALDÍA Y CONTRATACIÓN,9121,APOYO AL GOBIERNO MUNICIPAL,22301,TRANSPORTES,110,9,2,0,0,0,2238.5
110,ALCALDÍA Y CONTRATACIÓN,9121,APOYO AL GOBIERNO MUNICIPAL,22601,CANONES,110,9,2,4000,0,4000,2802.6
110,ALCALDÍA Y CONTRATACIÓN,9121,APOYO AL GOBIERNO MUNICIPAL,22602,ATENCIONES PROTOCALARIAS Y REPRESENTATIVAS,110,9,2,1000,0,1000,0
110,ALCALDÍA Y CONTRATACIÓN,9121,APOYO AL GOBIERNO MUNICIPAL,22605,REUNIONES Y CONFERENCIAS,110,9,2,10000,0,10000,0
110,ALCALDÍA Y CONTRATACIÓN,9121,APOYO AL GOBIERNO MUNICIPAL,22607,CUOTAS PARTICIPACION EN OTROS ENTES,110,9,2,240000,0,240000,194039.8
110,ALCALDÍA Y CONTRATACIÓN,9121,APOYO AL GOBIERNO MUNICIPAL,22699,OTROS GASTOS DIVERSOS,110,9,2,3000,0,3000,8213.88
110,ALCALDÍA Y CONTRATACIÓN,9121,APOYO AL GOBIERNO MUNICIPAL,22707,ESTUDIOS Y TRABAJOS TECNICOS,110,9,2,210800,-18000,192800,371269.18
110,ALCALDÍA Y CONTRATACIÓN,9121,APOYO AL GOBIERNO MUNICIPAL,22712,SERVICIOS INFORMATICOS,110,9,2,118835,0,118835,35868.49
