#Subconcepto,,"Prevision Inicial 2015","Modificaciones 2015","Previsión definitiva 2015","Derechos reconocidos netos 2015"
11202,IMPUESTO SOBRE BIENES INMUEBLES DE NATURALEZA URBANA,47800000,0,47800000,48248212.68
11301,IMPUESTO SOBRE VEHICULOS DE TRACCION MECANICA,16600000,0,16600000,17550500.6
11401,IMPUESTO SOBRE EL INCREMENTO DEL VALOR DE LOS TERRENOS DE NATURALEZA URBANA,6300000,0,6300000,7428187.69
13001,IMPUESTO SOBRE ACTIVIDADES ECONOMICAS,13800000,0,13800000,13038415.47
28201,"IMPUESTO SOBRE CONSTRUCCIONES, INSTALACIONES Y OBRAS",6200000,0,6200000,4429779.53
30004,VENTA DE VEHICULOS ABANDONADOS EN DEPOSITOS MUNICIPALES,100000,0,100000,0
31001,TASA POR RECOGIDA DOMICILIARIA DE BASURAS Y RESIDUOS SOLIDOS URBANOS,21652000,0,21652000,21667389.63
31002,TASA POR SERVICIO DE ALCANTARILLADO,6850000,0,6850000,6933493.99
31004,TASA POR EXPEDICION Y ENTREGA DE DOCUMENTOS,12000,0,12000,21571.76
31005,TASA POR RETIRADA DE VEHICULOS DE LA VIA PUBLICA Y ESTANCIA EN LOCALES MPLES.,650000,0,650000,616066.26
31006,TASA POR SERVICIOS ESPECIALES DE LA POLICIA MUNICIPAL,25000,0,25000,19518.25
31008,TASA POR SERVICIOS DEL CUERPO MUNICIPAL DE BOMBEROS Y PROTECCION CIVIL,1000000,0,1000000,808530.3
31009,TASA POR ABASTECIMIENTO DE AGUAS,15300000,0,15300000,15998208.62
31015,TASA POR SERVICIO DE AYUDA A DOMICILIO Y OTROS SERVICIOS SOCIALES,700000,0,700000,874629.09
31019,TASA POR SERVICIO DE TRANSPORTE COLECTIVO URBANO,2000,0,2000,0
31021,TASA POR SERVICIOS SANITARIOS,10000,0,10000,8568.14
31022,TASA POR SERVICIO DE AMBULANCIAS,3000,0,3000,3356.86
31023,TASA POR SERVICIOS DE SANIDAD LABORAL,3000,0,3000,3584.5
31024,TASA POR LA PRESTACION DE SERVICIOS TECNICOS,84000,0,84000,78127.75
31101,TASA POR LICENCIA DE APERTURA DE ESTABLECIMIENTOS,330000,0,330000,296527.93
31102,TASA POR CONCESION Y EXPEDICION DE LICENCIAS DE AUTOTAXI Y DEMAS VEHICULOS ALQ.,45000,0,45000,68340.66
31201,TASA POR LICENCIA DE OBRAS Y URBANISTICAS,3900000,0,3900000,3118529.14
32001,TASA POR ESTACIONAMIENTO DE VEHICULOS DE TRACCION MECANICA,920000,0,920000,1030076.18
32004,OTRAS TASAS POR SERVICIOS GENERALES,300000,0,300000,1058092.56
32103,"TASA POR VALLAS, ANDAMIOS Y OTROS ELEMENTOS AUXILIARES OBRA",550000,0,550000,696234.01
32104,"TASA POR MESAS, SILLAS Y VELADORES",600000,0,600000,1328929.07
32105,"TASA POR PUESTOS, BARRACAS Y RODAJES CINEMATOGRÁFICOS",730000,0,730000,951224.29
32107,TASA POR APERTURA DE CALICATAS Y ZANJAS EN TERRENOS DE DOMINIO PUBLICO,25000,0,25000,28960.09
32109,TASA POR OCUPACION VIA PUBLICA POR EMPRESAS EXPLOTADORAS DE SERVICIOS SUMINISTRO,2900000,0,2900000,3284128.01
32110,"TASA POR INSTALACIONES DE ESCAPARATES,VITRINAS, PORTADAS, ETC.",80000,0,80000,72959.65
32112,"TASA POR OTROS APROVECHAMIENTOS ESPECIALES DEL SUELO, VUELO Y SUBSUELO MUNICIPAL",220000,0,220000,257463.86
32201,TASA ENTRADA DE VEHICULOS A TRAVES DE ACERAS Y RESERVA APARCAMIENTO VIAS PUBLIC.,660000,0,660000,755461.98
34007,"PRECIO PÚBLICO POR VENTA DE LIBROS, PUBLICACIONES Y VIDEOS",4000,0,4000,521.4
34102,PRECIO PÚBLICO POR PRESTACIÓN DE SERVICIOS O ACTIVIDADES MUNICIPALES,170000,0,170000,213790.98
36101,CONTRIBUCIONES ESPECIALES POR EL SERVICIO DE EXTINCION DE INCENDIOS,1640000,0,1640000,1855906.92
38001,REINTEGROS DE PRESUPUESTOS CERRADOS,122000,62137.74,184137.74,973206.84
39101,MULTAS POR INFRACCIONES A LA LEY DE TRAFICO,8300000,0,8300000,5427059.63
39102,MULTAS POR INFRACCIONES A ORDENANZAS DE TRAFICO Y APARCAMIENTO (OTA/TAO),2100000,0,2100000,1764270.41
