#Subconcepto,,"Prevision Inicial 2016","Modificaciones 2016","Previsión definitiva 2016","Derechos reconocidos netos 2016"
11202,IMPUESTO SOBRE BIENES INMUEBLES DE NATURALEZA URBANA,48496000,0,48496000,48874324.39
11301,IMPUESTO SOBRE VEHICULOS DE TRACCION MECANICA,17940000,0,17940000,18011623.69
11401,IMPUESTO SOBRE EL INCREMENTO DEL VALOR DE LOS TERRENOS DE NATURALEZA URBANA,7100000,0,7100000,9140203.97
13001,IMPUESTO SOBRE ACTIVIDADES ECONOMICAS,13570000,0,13570000,13671515.25
28201,"IMPUESTO SOBRE CONSTRUCCIONES, INSTALACIONES Y OBRAS",5600000,0,5600000,7263576.74
30004,VENTA DE VEHICULOS ABANDONADOS EN DEPOSITOS MUNICIPALES,100000,0,100000,118748.86
31001,TASA POR RECOGIDA DOMICILIARIA DE BASURAS Y RESIDUOS SOLIDOS URBANOS,21695000,0,21695000,22125660.82
31002,TASA POR SERVICIO DE ALCANTARILLADO,6924000,0,6924000,7020721.94
31004,TASA POR EXPEDICION Y ENTREGA DE DOCUMENTOS,15000,0,15000,17117.99
31005,TASA POR RETIRADA DE VEHICULOS DE LA VIA PUBLICA Y ESTANCIA EN LOCALES MPLES.,630000,0,630000,619356.41
31006,TASA POR SERVICIOS ESPECIALES DE LA POLICIA MUNICIPAL,25000,0,25000,16943.6
31008,TASA POR SERVICIOS DEL CUERPO MUNICIPAL DE BOMBEROS Y PROTECCION CIVIL,1000000,0,1000000,791749.71
31009,TASA POR ABASTECIMIENTO DE AGUAS,16140000,0,16140000,16496817.15
31015,TASA POR SERVICIO DE AYUDA A DOMICILIO Y OTROS SERVICIOS SOCIALES,780000,0,780000,960207.44
31019,TASA POR SERVICIO DE TRANSPORTE COLECTIVO URBANO,2000,0,2000,851.02
31021,TASA POR SERVICIOS SANITARIOS,10000,0,10000,26086.04
31022,TASA POR SERVICIO DE AMBULANCIAS,3000,0,3000,4003.15
31023,TASA POR SERVICIOS DE SANIDAD LABORAL,3000,0,3000,2400
31024,TASA POR LA PRESTACION DE SERVICIOS TECNICOS,84000,0,84000,48003.58
31101,TASA POR LICENCIA DE APERTURA DE ESTABLECIMIENTOS,260000,0,260000,212441.7
31102,TASA POR CONCESION Y EXPEDICION DE LICENCIAS DE AUTOTAXI Y DEMAS VEHICULOS ALQ.,60000,0,60000,74355.7
31201,TASA POR LICENCIA DE OBRAS Y URBANISTICAS,3800000,0,3800000,4658321.13
32001,TASA POR ESTACIONAMIENTO DE VEHICULOS DE TRACCION MECANICA,7030000,0,7030000,1103583.26
32004,OTRAS TASAS POR SERVICIOS GENERALES,300000,0,300000,733831.71
32103,"TASA POR VALLAS, ANDAMIOS Y OTROS ELEMENTOS AUXILIARES OBRA",610000,0,610000,825956.84
32104,"TASA POR MESAS, SILLAS Y VELADORES",600000,0,600000,858904.51
32105,"TASA POR PUESTOS, BARRACAS Y RODAJES CINEMATOGRÁFICOS",800000,0,800000,962943.54
32107,TASA POR APERTURA DE CALICATAS Y ZANJAS EN TERRENOS DE DOMINIO PUBLICO,26000,0,26000,28791.7
32109,TASA POR OCUPACION VIA PUBLICA POR EMPRESAS EXPLOTADORAS DE SERVICIOS SUMINISTRO,3050000,0,3050000,3104309.5
32110,"TASA POR INSTALACIONES DE ESCAPARATES,VITRINAS, PORTADAS, ETC.",80000,0,80000,71905.39
32112,"TASA POR OTROS APROVECHAMIENTOS ESPECIALES DEL SUELO, VUELO Y SUBSUELO MUNICIPAL",230000,0,230000,292595.97
32201,TASA ENTRADA DE VEHICULOS A TRAVES DE ACERAS Y RESERVA APARCAMIENTO VIAS PUBLIC.,710000,0,710000,883811.21
34007,"PRECIO PÚBLICO POR VENTA DE LIBROS, PUBLICACIONES Y VIDEOS",4000,0,4000,3654.22
